Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"21245-1","Minecraft","Minifig-scale",2023,"The Panda Haven",2,553,44.99,49.99,64.99,49.99,5702017415802,673419374804,26.2,28.2,9.6,,"",0,0,0,,0,0,,,,,,,,,38.2400,,"01/01/2023","31/12/2025"
"21246-1","Minecraft","Minifig-scale",2023,"The Deep Dark Battle",3,584,59.99,64.99,84.99,64.99,5702017415819,673419374811,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,57.9300,53.8700,"01/01/2023","31/12/2024"
"21247-1","Minecraft","Minifig-scale",2023,"The Axolotl House",2,242,20.99,26.99,32.99,26.99,5702017415826,673419374828,26.2,19.1,7.2,,"",0,0,0,,0,0,,,,,,,,,17.3700,,"01/08/2023","31/12/2024"
"21248-1","Minecraft","Minifig-scale",2023,"The Pumpkin Farm",2,257,31.99,39.99,49.99,37.99,5702017415833,673419374835,35.4,19.1,5.9,,"",0,0,0,,0,0,,,,,,,,,33.3600,,"01/08/2023","31/12/2024"
"21249-1","Minecraft","Minifig-scale",2023,"The Crafting Box 4.0",4,605,64.99,79.99,99.99,74.99,5702017415840,673419373579,48,28.2,6.1,,"",0,0,0,,0,0,,,,,,,,,49.2100,,"01/08/2023","31/12/2025"
"21250-1","Minecraft","Minifig-scale",2023,"The Iron Golem Fortress",6,868,94.99,109.99,139.99,104.99,5702017415857,673419373586,54,28.2,7.9,,"",0,0,0,,0,0,,,,,,,,,95.9600,,"01/08/2023","31/12/2024"
"21338-1","Ideas","",2023,"A-Frame Cabin",4,2082,159.99,179.99,239.99,179.99,5702017417448,673419376259,47.5,37.5,10.8,2.495,"",0,0,0,,0,0,,,,,,,,,153.0800,128.7500,"01/02/2023","31/12/2025"
"21339-1","Ideas","Licensed",2023,"BTS Dynamite",7,749,89.99,99.99,129.99,99.99,5702017417462,673419376266,38.2,26.2,9.4,,"",0,0,0,,0,0,,,,,,,,,75.3700,55.0000,"01/03/2023","31/12/2024"
"21340-1","Ideas","",2023,"Tales of the Space Age",,688,44.99,49.99,64.99,49.99,5702017452135,673419381154,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,51.4100,25.0000,"05/05/2023","31/12/2025"
"21341-1","Ideas","Licensed",2023,"Disney Hocus Pocus: The Sanderson Sisters' Cottage",9,2316,199.99,229.99,299.99,229.99,5702017452142,673419381161,58.2,37.8,10.3,,"",0,0,0,,0,0,,,,,,,,,259.3300,,"01/07/2023","31/12/2025"
